Time:                        Temperature (C):   Altitude (m):       
2014:01:14:01:04:25:057		-45.05541	 	  	18629.37833	 		
2014:01:14:01:04:25:308		-43.08362	 	  	19351.09917	 		
2014:01:14:01:04:25:558		-42.34696	 	  	19386.62505	 		
2014:01:14:01:04:25:808		-40.03505	 	  	19425.00446	 		
2014:01:14:01:04:26:059		-39.29211	 	  	20206.26865	 		
2014:01:14:01:04:26:309		-37.3093	 	  	20352.92518	 		
2014:01:14:01:04:26:559		-34.45076	 	  	20370.69451	 		
2014:01:14:01:04:26:809		-34.15456	 	  	20405.81844	 		
2014:01:14:01:04:27:059		-30.51542	 	  	20573.42690	 		
2014:01:14:01:04:27:309		-29.58453	 	  	20582.27329	 		
2014:01:14:01:04:27:560		-28.25729	 	  	20605.80264	 		
2014:01:14:01:04:27:810		-27.98389	 	  	21547.48652	 		
2014:01:14:01:04:28:060		-27.2805	 	  	21820.48077	 		
2014:01:14:01:04:28:310		-27.05186	 	  	22123.76482	 		
2014:01:14:01:04:28:560		-24.86811	 	  	22203.42523	 		
2014:01:14:01:04:28:810		-24.16556	 	  	22562.13646	 		
2014:01:14:01:04:29:060		-21.15709	 	  	22969.81399	 		
2014:01:14:01:04:29:310		-21.10606	 	  	22981.36882	 		
2014:01:14:01:04:29:560		-20.37492	 	  	23455.34188	 		
2014:01:14:01:04:29:811		-17.83687	 	  	23906.37760	 		
2014:01:14:01:04:30:061		-17.45654	 	  	24046.83658	 		
2014:01:14:01:04:30:311		-16.54613	 	  	24056.77286	 		
2014:01:14:01:04:30:561		-13.41628	 	  	24108.55954	 		
2014:01:14:01:04:30:812		-13.28222	 	  	24332.21504	 		
2014:01:14:01:04:31:062		-11.43866	 	  	24349.10659	 		
2014:01:14:01:04:31:312		-9.21928	 	  	24569.62828	 		
2014:01:14:01:04:31:562		-8.39873	 	  	24601.47834	 		
2014:01:14:01:04:31:812		-8.21534	 	  	24919.04350	 		
2014:01:14:01:04:32:062		-7.02845	 	  	25175.50409	 		
2014:01:14:01:04:32:313		-5.76149	 	  	25186.94574	 		
2014:01:14:01:04:32:563		-5.17614	 	  	25773.29125	 		
2014:01:14:01:04:32:813		-4.11294	 	  	25854.61851	 		
2014:01:14:01:04:33:064		0.79717	 	  	25889.70168	 		
2014:01:14:01:04:33:314		1.38579	 	  	26926.91374	 		
2014:01:14:01:04:33:564		2.99585	 	  	27185.36620	 		
2014:01:14:01:04:33:815		4.96832	 	  	27584.32538	 		
2014:01:14:01:04:34:065		5.3894	 	  	27638.27338	 		
2014:01:14:01:04:34:315		6.28644	 	  	28354.51953	 		
2014:01:14:01:04:34:565		8.77747	 	  	28938.30852	 		
2014:01:14:01:04:34:815		9.16028	 	  	29497.44035	 		
2014:01:14:01:04:35:065		10.25116	 	  	29559.56542	 		
2014:01:14:01:04:35:315		15.37233	 	  	29753.51699	 		
2014:01:14:01:04:35:565		16.40046	 	  	29866.66932	 		
2014:01:14:01:04:35:815		21.2785	 	  	29978.14068	 		
2014:01:14:01:04:36:065		23.50627	 	  	30410.22909	 		
